День,Время,Север,Юг,Запад,Восток
Понедельник,10:00 – 11:20,"Матан, Лекция, С1.1, Скубачевский, В202-206","MiA, лекция, 1.1, Рудакова, F201-203","Коммуникация","Матан, Лекция, З1.1, Городецкий, В302-306","MiA, лекция, 1.1, Рудакова, F201-203"
Понедельник,11:30 – 12:50,"Котельникова, В214-216|Павлунин, В208|Зайцева, В210|Скубачевский, В212","Лекция, Введение в экономику, Верем, В302-306","Лекция, Введение в экономику, Ким, В202-206"
Понедельник,13:00 – 14:20,"Лекция, Введение в экономику, Ким, В202-206","Лекция, Введение в экономику, Синельникова, В302-306","Котельникова, В214-216|Павлунин, В208|Зайцева, В210|Городецкий В212"
Понедельник,14:30 – 15:50,"MiA, лекция, 2.1, Капралов, В302-306","Введение в экономику, Ким В502|Введение в экономику, Шевченко, В504","Матан, Лекция, В1.1, Городецкий, В202-206","MiA, лекция, 2.1, Капралов, В302-306"
Понедельник,16:00 – 17:20,"Коммуникация","Матан, Лекция, Ю1.1, Глухов, В202-206","Введение в экономику, Андрианова, В502|Введение в экономику, Шевченко, В504","Матан Нардус, В214-216|Матан Рудакова, В208|Капралов В212|Городецкий В210"
Понедельник,17:30 – 18:50,"Матан Нардус, В214-216|Матан Рудакова В208|Матан Глухов 210|Матан Капралов 212","Дискретная математика, Эрлих В302-306+Галицкий В202-206"
Вторник,10:00 – 11:20,"Основы промышленной разработки, Python, Лектор - Галицкий, Семинарист -  , В502-504","Основы промышленной разработки, Java, Лектор - Третьякова, Семинарист - Масгутов, В802-804","Основы финансов, Лекция 1, Наумова, В302-306","Коммуникация","Основы финансов, Лекция 1, Наумова, В302-306"
Вторник,11:30 – 12:50,"Английский","Искусственный интеллект, Борисенко, В302-306"
Вторник,13:00 – 14:20,"Искусственный интеллект, Борисенко, В302-306","Английский","Английский"
Вторник,14:30 – 15:50,"Английский","Матан, Лекция, Ю1.2, Глухов, В202-206","MiA, лекция, 2.2, Капралов, В302-306","Английский","MiA, лекция, 2.2, Капралов, В302-306"
Вторник,16:00 – 17:20,"Английский","Матан Нардус, В214-216|Матан Рудакова В208|Матан Глухов 210|Матан Капралов 212","Основы промышленной разработки, Python, Лектор - Галицкий , Семинарист -  Косаревский, В502-504","Основы промышленной разработки, Java, Лектор - Дошевский , Семинарист - Дьякова, В802-804","Матан, Лекция, В1.2, Городецкий, В202-206"
Вторник,17:30 – 18:50,"Матан Глухов  В210","Матан Нардус, В214-216|Матан Рудакова, В208|Капралов В212|Городецкий В210"
Среда,10:00 – 11:20,"Контрольные работы\Приглашенные лекторы\Райгородский\Тренинги"
Среда,11:30 – 12:50,""
Среда,13:00 – 14:20,"MiA, лекция, 1.2, Рудакова, В202-206","Введение в экономику, Аносова, В506|Введение в экономику, Андрианова В512","Матан, Лекция, З1.2, Городецкий, В302-306","MiA, лекция, 1.2, Рудакова, В202-206","Коммуникация"
Среда,14:30 – 15:50,"Матан, Лекция, С1.2, Скубачевский, В202-206","Введение в экономику, Андрианова В512|Введение в экономику, Аносова В506","Котельникова, В214-216|Павлунин, B104|Зайцева, В218|Городецкий В212"
Среда,16:00 – 17:20,"Котельникова, В214-216|Павлунин, B104|Зайцева, В218|Скубачевский, F201","Основы промышленной разработки, Python, Лектор - Галицкий, Семинарист - Кичик, В502-504","Основы промышленной разработки, Java, Лектор - Фитисов , Семинарист - Шарудин, В802-804","ОПР, Go, 1, Куринова, B506","Основы финансов, 1, Наумова, F203"
Среда,17:30 – 18:50,"Основы финансов, Лекция 2, Наумова, В302-306","ОПР, Go, 2, Куринова, B506|Скубачевский, F1","Основы финансов, Лекция 2, Наумова, В302-306","Городецкий, В202-206|Городецкий, В202-206","Основы финансов, Лекция 2, Наумова, В302-306"
Четверг,10:00 – 11:20,"Основы финансов, лекция 3, Наумова, В302-306","Введение в экономику, 1, Аносова, F203","Основы финансов, лекция 3, Наумова, В302-306","Введение в экономику, Лапина, F202"
Четверг,11:30 – 12:50,"Введение в экономику, Ковыршин, F1|Введение в экономику, Лапина, F202","Искусственный интеллект, Васильев, В202-206","ДМ, Дениско, В506|ДМ, Зайцева, В504","Введение в экономику, 2, Верем, В216|Введение в экономику, 3,  Аносова, F203","Искусственный интеллект, Власов, В212|Искусственный интеллект, Борисенко, В208|Основы финансов, 2,  Наумова, В302-306"
Четверг,13:00 – 14:20,"Введение в экономику, 4, Верем, В216|Введение в экономику, 5,  Аносова, F203|Введение в экономику, Лапина, F202|Введение в экономику, Ковыршин, F201","Искусственный интеллект, Васильев, В218|Искусственный интеллект, Борисенко, В208","Введение в экономику, 4, Верем, В216","ДМ, Дениско, В506|ДМ, Мухин, В504","Искусственный интеллект, 1, Власов, В212|Искусственный интеллект, Абумов, В210|Искусственный интеллект, Фролов, В214"
Четверг,14:30 – 15:50,"Основы финансов, 3,  Иванинский, F201","ОПР, Go, 3, Яковлев F202","ОПР, Go, 3, Яковлев F202","Искусственный интеллект, Фролов, В214|Искусственный интеллект, Васильев, В202-206","ДМ, Соколова, В512|ДМ, Зайцева, В502|ДМ, Дениско, В506|ДМ, Мухин, В504"
Четверг,16:00 – 17:20,"Научная студия, ""Лесные пожары"" - В502-504, ""Лечение на Гамма-ноже"" - В420-422, ""Переменные звезды"" - В104, ""Термоядерные реакции и неуловимые нейтроны"" - F201-202,","ДМ, Зайцева, В302-306","ДМ, Соколова, В202-206"
Четверг,17:30 – 18:50,"Дискретная математика, Мухин В302-306+Мещерин В202-206","Научная студия, ""Лесные пожары"" - В502-504, ""Лечение на Гамма-ноже"" - В420-422, ""Переменные звезды"" - В104, ""Термоядерные реакции и неуловимые нейтроны"" - F201-202,"
Пятница,10:00 – 11:20,"Английский","Искусственный интеллект, Мошкина, В212","Основы финансов,  4, Никишина, F201","Основы промышленной разработки, Python, Лектор - Хайбулин, Семинарист -","Основы промышленной разработки, Java, Лектор - Третьякова , Семинарист -  Зайцев Арсений."
Пятница,11:30 – 12:50,"Искусственный интеллект, Мошкина, В212|Искусственный интеллект, Тоичкин, В208|Искусственный интеллект, Васильев, В210|Искусственный интеллект, Абумов, В214","Основы финансов, 5, Романиди, F201","Искусственный интеллект, 2, Феоктистов, F202","Английский","Искусственный интеллект, 2, Феоктистов, F202"
Пятница,13:00 – 14:20,"Введение в экономику, 6, Верем, F201","Искусственный интеллект, 3, Феоктистов, F202|Введение в экономику, 6, Верем, F201","Английский","Искусственный интеллект, Абумов, В214|Искусственный интеллект, Тоичкин, В208|Искусственный интеллект, Васильев, В210|Искусственный интеллект, Зайцева, В212","Введение в экономику, Синельникова, В506|Введение в экономику, Дичева, В512"
Пятница,14:30 – 15:50,"ДМ, Дженжер, В208|ДМ, Павлунин, F202|ДМ, Алексеева, В212|ДМ, Галицкий, F304","Английский","Введение в экономику, 7, Верем, F201","Английский, В420|Введение в экономику, 7, Верем, F1","Введение в экономику, Синельникова, В506|Введение в экономику, Дичева, В512"
Пятница,16:00 – 17:20,"Английский, В420","Искусственный интеллект, 5, Цымбой, В218","ДМ, Дженжер, В208|ДМ, Павлунин, F202|ДМ, Алексеева, В212|ДМ, Галицкий, F304","Искусственный интеллект, 4, Погадаев, F1","Основы финансов, 7,  Новоселова, F304","Английский"
Пятница,17:30 – 18:50,"Основы финансов,  6, Харрамов, F202","Искусственный интеллект, 6, Погадаев, F1|ДМ, Алексеева, В212","Основы финансов,  8, Литвинова,F203","Искусственный интеллект, 6, Погадаев, F1|ДМ, Галицкий, F304","Искусственный интеллект, 7, Цымбой, В218|ОПР, Go, 4, Котельников B502-504","ОПР, Go, 4, Котельников B502-504|Искусственный интеллект, 6, Погадаев, F1"